学号,姓名,班级,年龄,语文,数学,英语,物理,化学,生物,总分,平均分
20241001,学生1,高一(3)班,12,74,97,67,70,96,80,484,80.67
20241003,学生3,高一(2)班,12,61,78,89,87,59,82,456,76.0
20241004,学生4,高一(1)班,13,81,98,84,76,85,77,501,83.5
20241005,学生5,高一(3)班,13,62,91,66,70,66,79,434,72.33
20241006,学生6,高一(1)班,13,68,80,61,69,85,68,431,71.83
20241007,学生7,高一(1)班,14,94,68,76,85,61,63,447,74.5
20241008,学生8,高一(2)班,13,63,83,77,75,91,71,460,76.67
20241009,学生9,高一(2)班,13,90,69,67,63,80,82,451,75.17
20241010,学生10,高一(1)班,13,83,80,84,94,86,76,503,83.83
20241011,学生11,高一(1)班,12,84,61,68,73,58,69,413,68.83
20241012,学生12,高一(3)班,14,76,62,94,84,90,66,472,78.67
20241013,学生13,高一(2)班,14,87,61,68,57,69,94,436,72.67
20241014,学生14,高一(3)班,14,83,91,94,93,79,88,528,88.0
20241015,学生15,高一(3)班,12,94,91,73,52,58,66,434,72.33
20241016,学生16,高一(2)班,14,73,93,86,58,72,76,458,76.33
20241017,学生17,高一(2)班,13,72,86,91,53,87,84,473,78.83
20241018,学生18,高一(3)班,12,74,97,88,85,70,93,507,84.5
20241019,学生19,高一(3)班,14,81,82,61,91,63,89,467,77.83
20241020,学生20,高一(2)班,13,70,82,84,88,90,62,476,79.33
20241021,学生21,高一(1)班,14,72,95,62,88,63,69,449,74.83
20241022,学生22,高一(3)班,12,96,87,83,64,89,93,512,85.33
20241023,学生23,高一(1)班,12,71,93,61,52,94,78,449,74.83
20241024,学生24,高一(3)班,12,61,56,87,72,94,93,463,77.17
20241025,学生25,高一(1)班,12,78,56,85,81,63,93,456,76.0
20241026,学生26,高一(3)班,14,70,71,97,73,62,67,440,73.33
20241027,学生27,高一(2)班,14,75,87,68,55,73,90,448,74.67
20241028,学生28,高一(3)班,14,95,73,85,52,76,81,462,77.0
20241029,学生29,高一(3)班,12,92,94,77,89,58,72,482,80.33
20241030,学生30,高一(1)班,12,82,85,89,91,92,68,507,84.5
20241031,学生31,高一(2)班,12,61,55,71,54,94,93,428,71.33
20241032,学生32,高一(3)班,14,68,95,94,68,73,64,462,77.0
20241033,学生33,高一(2)班,12,83,65,67,85,95,81,476,79.33
20241034,学生34,高一(2)班,14,84,89,84,78,75,79,489,81.5
20241035,学生35,高一(2)班,13,94,70,95,82,61,94,496,82.67
20241036,学生36,高一(2)班,12,79,62,66,52,74,94,427,71.17
20241037,学生37,高一(3)班,14,81,76,89,87,95,69,497,82.83
20241038,学生38,高一(3)班,14,93,75,89,82,85,94,518,86.33
20241039,学生39,高一(1)班,12,78,58,94,66,85,91,472,78.67
20241040,学生40,高一(1)班,13,65,89,96,73,86,92,501,83.5
20241041,学生41,高一(3)班,12,80,86,82,82,60,79,469,78.17
20241042,学生42,高一(1)班,13,90,57,83,81,79,84,474,79.0
20241043,学生43,高一(2)班,14,86,96,61,75,74,94,486,81.0
20241044,学生44,高一(1)班,14,98,83,85,84,82,85,517,86.17
20241045,学生45,高一(1)班,13,66,90,79,50,65,77,427,71.17
20241046,学生46,高一(2)班,14,82,69,87,83,59,93,473,78.83
20241047,学生47,高一(3)班,14,81,79,81,71,63,76,451,75.17
20241048,学生48,高一(2)班,14,96,87,67,93,62,65,470,78.33
20241049,学生49,高一(2)班,12,91,84,94,89,73,74,505,84.17
20241050,学生50,高一(2)班,13,89,73,76,68,85,87,478,79.67
